Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
BENTON SCHOOL DISTRICT,New Hampshire,NH ,Benton School District,3301830,–,2-Local school district that is a component of a supervisory union
BENTON SCHOOL DISTRICT,Wisconsin,WI ,Benton School District,5501110,21384,1-Regular local school district that is NOT a component of a supervisory union
BENTON-STEARNS EDUCATION DISTRICT,Minnesota,MN ,Benton-Stearns Education District,2700071,–,9-Specialized public school district
BENTONVILLE SCHOOL DISTRICT,Arkansas,AR ,BENTONVILLE SCHOOL DISTRICT,0503060,13522,1-Regular local school district that is NOT a component of a supervisory union
BENTWORTH SD,Pennsylvania,PA ,Bentworth SD,4203360,18140,1-Regular local school district that is NOT a component of a supervisory union
BENZIE COUNTY CENTRAL SCHOOLS,Michigan,MI ,Benzie County Central Schools,2604950,19159,1-Regular local school district that is NOT a component of a supervisory union
BEREA CITY,Ohio,OH ,Berea City,3904360,17809,1-Regular local school district that is NOT a component of a supervisory union
BEREA INDEPENDENT,Kentucky,KY ,Berea Independent,2100480,15606,1-Regular local school district that is NOT a component of a supervisory union
BERESFORD SCHOOL DISTRICT 61-2,South Dakota,SD ,Beresford School District 61-2,4606360,12393,1-Regular local school district that is NOT a component of a supervisory union
BERGEN COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,NJ ,Bergen County Special Services School District,3401450,–,1-Regular local school district that is NOT a component of a supervisory union
BERGEN COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,NJ ,Bergen County Vocational Technical School District,3401470,44321,9-Specialized public school district
BERGENFIELD BOROUGH SCHOOL DISTRICT,New Jersey,NJ ,Bergenfield Borough School District,3401500,25034,1-Regular local school district that is NOT a component of a supervisory union
BERGMAN SCHOOL DISTRICT,Arkansas,AR ,BERGMAN SCHOOL DISTRICT,0503090,10430,1-Regular local school district that is NOT a component of a supervisory union
BERING STRAIT SCHOOL DISTRICT,Alaska,AK ,Bering Strait School District,0200020,45373,1-Regular local school district that is NOT a component of a supervisory union
BERKELEY 01,South Carolina,SC ,Berkeley 01,4501170,13148,1-Regular local school district that is NOT a component of a supervisory union
BERKELEY COUNTY SCHOOLS,West Virginia,WV ,BERKELEY COUNTY SCHOOLS,5400060,13399,1-Regular local school district that is NOT a component of a supervisory union
BERKELEY HEIGHTS SCHOOL DISTRICT,New Jersey,NJ ,Berkeley Heights School District,3401530,26976,1-Regular local school district that is NOT a component of a supervisory union
BERKELEY SD 87,Illinois,IL ,Berkeley SD 87,1706000,40489,1-Regular local school district that is NOT a component of a supervisory union
BERKELEY TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,Berkeley Township School District,3401560,21503,1-Regular local school district that is NOT a component of a supervisory union
BERKELEY UNIFIED,California,CA ,Berkeley Unified,0604740,28034,1-Regular local school district that is NOT a component of a supervisory union
BERKLEY,Massachusetts,MA ,Berkley,2502520,16528,1-Regular local school district that is NOT a component of a supervisory union
BERKLEY SCHOOL DISTRICT,Michigan,MI ,Berkley School District,2605010,20049,1-Regular local school district that is NOT a component of a supervisory union
BERKS CTC,Pennsylvania,PA ,Berks CTC,4280060,–,9-Specialized public school district
BERKSHIRE HILLS,Massachusetts,MA ,Berkshire Hills,2502530,32135,1-Regular local school district that is NOT a component of a supervisory union
BERKSHIRE LOCAL,Ohio,OH ,Berkshire Local,3904716,35826,1-Regular local school district that is NOT a component of a supervisory union
